platform,subject,trial,correct,choice,key,rt,accuracy,outcome
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,1,1,1.0,38.0,0.922,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,2,1,0.0,37.0,1.045,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,3,1,2.0,39.0,0.929,0.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,4,1,1.0,38.0,0.662,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,5,1,2.0,39.0,0.49,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,6,1,1.0,38.0,0.402,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,7,1,1.0,38.0,0.436,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,8,1,1.0,38.0,0.812,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,9,1,1.0,38.0,0.769,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,10,1,1.0,38.0,0.661,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,11,1,1.0,38.0,0.569,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,12,1,1.0,38.0,0.483,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,13,1,1.0,38.0,0.462,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,14,1,1.0,38.0,0.347,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,15,1,1.0,38.0,0.385,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,16,0,1.0,38.0,0.548,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,17,0,1.0,38.0,0.815,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,18,0,2.0,39.0,0.291,0.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,19,0,2.0,39.0,0.714,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,20,0,0.0,37.0,0.232,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,21,0,0.0,37.0,0.386,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,22,0,0.0,37.0,0.471,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,23,0,0.0,37.0,0.605,1.0,1.0
